Quota,Category,State,Institute,Course,Fee,CR 2025 1,CR 2025 2,CR 2025 3
AI,SC,Telangana,"Govt Med Coll, Kumuram Bheem",MBBS,14000,110389(2),129259(2),130144(2)
AI,SC,Kerala,"Govt Med Coll, Palakkad",MBBS,23150,72773(3),118335(3),130147(3)
AI,SC,Jammu and Kashmir,"Government Med Coll, Handwara",MBBS,34215,100576(3),122431(3),130231(3)
AI,SC,West Bengal,"Prafulla CS Govt Med, Arambagh",MBBS,9000,93574(2),122611(2),130317(2)
AI,ST,Maharashtra,"Government Med Coll, Amravati",MBBS,158600,113394(1),122242(1),130344(1)
AI,ST,Uttar Pradesh,"Govt Med Coll, Lakhimpur Kheri",MBBS,24000,116142(2),122750(2),130349(2)
AI,SC,Karnataka,Kodagu Inst of Med Sciences,MBBS,64350,88904(4),124809(4),130413(4)
AI,SC,Assam,Kokrajhar Medical College,MBBS,6400,105691(2),130768(2),130527(2)
AI,ST,Andhra Pradesh,"Rajiv Gandhi IMS, Ongole",MBBS,15000,108820(1),130580(1),130580(1)
AI,SC,Maharashtra,"Government Med Coll, Gadchiroli",MBBS,158600,99295(3),117808(3),130601(3)
AI,ST,Andhra Pradesh,"Kurnool Med Coll, Kurnool",MBBS,15000,83520(3),103266(3),130648(3)
AI,SC,Maharashtra,"MGIMS, Wardha",MBBS,169410,80997(6),112891(6),130708(6)
AI,SC,Assam,"Nalbari Medical College, Nalbari",MBBS,6400,93101(2),130719(2),130719(2)
AI,ST,Bihar,"Govt Med Coll, Bettiah",MBBS,9500,110052(2),119132(2),130821(2)
AI,ST,Uttar Pradesh,"Auton. State Med Coll,Amethi",MBBS,24000,-,-,130900(2)
AI,ST,Tamil Nadu,"Govt Med Coll & ESI,Coimbatore",MBBS,18073,111319(1),128206(1),130919(1)
AI,SC,Karnataka,Chikkaballapura Inst Of Med Sci,MBBS,64350,89766(3),125162(4),130924(4)
AI,SC,Karnataka,"Yadgiri Inst of Med Sci,Yadgiri",MBBS,64350,101608(3),126215(3),130970(3)
AI,SC,Assam,Nagaon Medical College,MBBS,6400,109637(1),131032(1),131032(1)
AI,SC,Assam,"Silchar Med Coll, Silchar",MBBS,6400,83710(3),119461(4),131271(4)
AI,ST,Jharkhand,"Hazaribagh Med Coll,Hazaribagh",MBBS,9180,106302(1),116490(1),131281(1)
AI,SC,Maharashtra,"Government Med Coll, Jalna",MBBS,158600,99386(2),112565(2),131383(2)
AI,SC,Maharashtra,"Government Med Coll, Hingoli",MBBS,158600,101029(2),118303(2),131495(3)
AI,SC,Tamil Nadu,"Rajah Muthiah MC, Annamalai",MBBS,18073,58331(3),118482(3),132020(3)
AI,SC,Telangana,"Govt Med Coll, Maheshwaram",MBBS,14000,106467(1),106467(1),132024(1)
AI,ST,Chhattisgarh,"Government Med Coll, Korba",MBBS,50000,114749(1),130821(1),132026(1)
AI,SC,Telangana,Govt Med Coll Narsampet,MBBS,14000,104706(1),127277(1),132028(1)
AI,ST,Maharashtra,"Govt Med Coll, Miraj",MBBS,158600,101407(3),110678(3),132096(3)
AI,ST,Jammu and Kashmir,"Government Medical Coll, Doda",MBBS,26250,56076(1),127642(2),132128(2)
AI,SC,Telangana,"Government Med Coll, Karimnagar",MBBS,14000,102429(2),126381(2),132156(2)
AI,ST,Maharashtra,"Govt Med Coll, Nanded",MBBS,158600,106595(2),114037(2),132198(2)
AI,SC,Karnataka,Chikkamagaluru Inst of Med Sci,MBBS,64350,99928(3),127686(3),132247(3)
AI,ST,Maharashtra,"MGIMS, Wardha",MBBS,169410,103113(2),114517(2),132353(3)
AI,SC,Telangana,"Government Med Coll, Wanaparthy",MBBS,14000,109044(3),129674(3),132514(3)
AI,SC,Telangana,"Government Med Coll, Bhupalpally",MBBS,14000,108227(2),130413(2),132653(2)
AI,SC,Telangana,"Govt Med Coll, Jogulamba",MBBS,14000,108752(2),130512(2),132805(2)
AI,SC,Telangana,"GMC, Kodangal",MBBS,14000,-,128423(1),132834(1)
AI,SC,Telangana,"Government Med Coll, Jagtial",MBBS,14000,106981(4),129804(4),132865(4)
AI,SC,Karnataka,Chitradurga Medical College,MBBS,64350,102160(3),128676(3),132940(3)
AI,SC,Manipur,"Govt Med Coll, Churachandpur",MBBS,6000,101484(2),123444(2),132946(2)
