State,Institute,Course,Quota,Fee,Beds,Bond Years,Bond Penalty,Stipend Year 1
Rajasthan,"Govt Med Coll, Churu",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"Government Med Coll, Dausa",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"Government Med Coll, Dholpur",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"Govt Med Coll, Dungapur",MBBS,AI,96029,700,2,1000000,20000
Rajasthan,"Government Med Coll, Hanumangarh",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"Govt Med Coll, Jhunjhunu",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"Govt Med Coll, Kota",MBBS,AI,96100,2581,2,1000000,20000
Rajasthan,"Government Med Coll, Karauli",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"Govt Med Coll, Pali",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"Government Med Coll, Sirohi",MBBS,AI,96029,300,2,1000000,20000
Rajasthan,"JLNMC, Ajmer",MBBS,AI,96075,1428,2,1000000,20000
Rajasthan,"Govt Med Coll, Sri Ganganagar",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"Govt Med Coll, Banswara",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"SP Med Coll, Bikaner",MBBS,AI,96100,Info Not Available,2,1000000,20000
Rajasthan,"Govt Med Coll, Baran",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"SMS, Jaipur",MBBS,AI,96100,5702,2,1000000,20000
Haryana,"ESI Med Coll, Faridabad",MBBS,AI,100000,Info Not Available,1,500000,26300
Rajasthan,"RNT, Udaipur",MBBS,AI,96029,2206,2,1000000,20000
Rajasthan,"Govt Med Coll, Nagaur",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"Govt Med Coll, Sawai Madhopur",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"Jhalawar Med Coll, Jhalawar",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"RUHS, Jaipur",MBBS,AI,96029,300,2,1000000,20000
Rajasthan,"Shri Kalyan MedColl,Sikar",MBBS,AI,96029,Info Not Available,2,1000000,20000
Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",MBBS,AI,100000,470,1,500000,26300
Tamil Nadu,Chengalpattu Med Coll,MBBS,AI,18073,700,0,0,27315
Tamil Nadu,Coimbatore Med Coll,MBBS,AI,18073,1182,0,0,27315
Tamil Nadu,Govt Dharmapuri Med Coll,MBBS,AI,18073,500,0,0,27315
Tamil Nadu,"Govt Erode Med Coll,Perundurai",MBBS,AI,18073,600,0,0,27315
Tamil Nadu,"Govt Med Coll, Ariyalur",MBBS,AI,18073,1132,0,0,27315
Tamil Nadu,"Govt Med Coll, Dindigul",MBBS,AI,18073,901,0,0,27315
Tamil Nadu,"Govt Med Coll, Kallakurichi",MBBS,AI,18073,Info Not Available,0,0,27315
Tamil Nadu,"Govt Med Coll, Karur",MBBS,AI,18073,700,0,0,27315
Tamil Nadu,"Govt Med Coll, Krishnagiri",MBBS,AI,18073,Info Not Available,0,0,27315
Tamil Nadu,"Govt Med Coll, Nagapattinam",MBBS,AI,18073,Info Not Available,0,0,27315
Tamil Nadu,"Govt Med Coll, Namakkal",MBBS,AI,18073,700,0,0,27315
Tamil Nadu,"Govt Med Coll, Nilgiris",MBBS,AI,18073,421,0,0,27315
