State,Institute,Course,Quota,Category,Fee,CR 2025 1,CR 2025 2,CR 2025 3,CR 2025 4
Maharashtra,"Grant Med Coll, Mumbai",GENERAL SURGERY,AIQ,GEN,"₹ 1,57,100",564,582,645,-
Bihar,"IGIMS, Patna",RADIO DIAGNOSIS,AIQ,EWS,"₹ 1,60,000",651,651,651,-
Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,AIQ,GEN,"₹ 30,000",650,652,652,-
Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",RADIO DIAGNOSIS,AIQ,GEN,"₹ 11,000",664,664,664,-
Telangana,"Osmania Med Coll, Hyderabad",GENERAL MEDICINE,AIQ,GEN,"₹ 15,000",385,519,667,-
Rajasthan,"RNT, Udaipur",DERMATOLOGY,AIQ,GEN,"₹ 14,093",671,671,671,-
Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,AIQ,OBC,"₹ 14,093",631,674,674,-
Karnataka,"ESI, Bangalore",GENERAL MEDICINE,AIQ,GEN,"₹ 2,50,000",677,677,677,-
Karnataka,"KIMS, Hubli",RADIO DIAGNOSIS,AIQ,GEN,"₹ 1,23,400",472,679,679,-
Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,OBC,"₹ 15,000",543,680,680,-
Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,AIQ,OBC,"₹ 50,000",594,686,686,-
Odisha,"SCB, Cuttack",RADIO DIAGNOSIS,AIQ,GEN,"₹ 35,000",581,687,687,-
Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL MEDICINE,AIQ,OBC,"₹ 48,226",680,694,694,-
Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,SC,"₹ 16,200",708,708,708,-
Gujarat,"Apollo Hospital,Gandhinagar",DNBGENERAL MEDICINE,DNB Post MBBS,GEN,"₹ 1,25,000",709,709,709,-
Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,IP,EWS,"₹ 15,000",711,711,711,-
Kerala,"Medical College, Trivandrum",GENERAL MEDICINE,AIQ,GEN,"₹ 69,470",308,527,714,-
Jammu and Kashmir,"Govt Med Coll, Jammu",RADIO DIAGNOSIS,AIQ,GEN,"₹ 25,000",717,717,717,-
Rajasthan,"SP Med Coll, Bikaner",RADIO DIAGNOSIS,AIQ,GEN,"₹ 14,093",695,722,722,-
Maharashtra,"Pimpri Chinchwad, Pimpri",DERMATOLOGY,AIQ,GEN,"₹ 1,57,100",525,1028,723,-
Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL SURGERY,AIQ,OBC,"₹ 51,000",728,728,728,-
