S. No.,State,Management of college,College Name,Course Name,Seats
7267,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",MD - Microbiology,3
7268,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",MD - Bio-Chemistry,3
7269,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",MS - Opthalmology,9
7270,Uttar Pradesh,Govt,"LLRM Medical College, Meerut","Diploma in Dermatology, Venereology and Leprosy",2
7271,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",Diploma in Paediatrics,2
7272,Uttar Pradesh,Govt,"Maharani Laxmi Bai Medical College, Jhansi",MD - Anesthesiology,12
7273,Uttar Pradesh,Govt,"Maharani Laxmi Bai Medical College, Jhansi",MS - ENT,5
7274,Uttar Pradesh,Govt,"Maharani Laxmi Bai Medical College, Jhansi",MS - Obstetrics & Gynaecology,10
7275,Uttar Pradesh,Govt,"Maharani Laxmi Bai Medical College, Jhansi",MD - General Medicine,15
7276,Uttar Pradesh,Govt,"Maharani Laxmi Bai Medical College, Jhansi",MS - Ophthalmology,5
7277,Uttar Pradesh,Govt,"Maharani Laxmi Bai Medical College, Jhansi",MS - Orthopaedics,8
7278,Uttar Pradesh,Govt,"Maharani Laxmi Bai Medical College, Jhansi",MD - Pediatrics,10
7279,Uttar Pradesh,Govt,"Maharani Laxmi Bai Medical College, Jhansi",MD - Pathology,6
7280,Uttar Pradesh,Govt,"Maharani Laxmi Bai Medical College, Jhansi",MD - Pharmacology,1
7281,Uttar Pradesh,Govt,"Maharani Laxmi Bai Medical College, Jhansi",MD - Physiology,1
7282,Uttar Pradesh,Govt,"Maharani Laxmi Bai Medical College, Jhansi",MD - Radio diagnosis,6
7283,Uttar Pradesh,Govt,"Maharani Laxmi Bai Medical College, Jhansi",MD - Community Medicine,2
7284,Uttar Pradesh,Govt,"Maharani Laxmi Bai Medical College, Jhansi",MS - General Surgery,16
7285,Uttar Pradesh,Govt,"Maharani Laxmi Bai Medical College, Jhansi",MD - Respiratory Medicine,5
7286,Uttar Pradesh,Govt,Maharshi Devraha Baba Autonomous State Medical College Deoria,MD - Anatomy,4
7287,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki",MD - Pathology,4
7288,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki",MD - Anaesthesiology,3
7289,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki","MD - Social & Preventive Medicine / Community
Medicine",4
7290,Uttar Pradesh,Trust,"Mayo Institute of Medical Sciences, Barabanki",MD - Physiology,3
