STATE,INSTITUTE,COURSE,QUOTA,FEE,BEDS,BOND YEARS,BOND PENALTY,STIPEND YEAR 1
Odisha,"Pt Raghunath Med Coll,Baripada",ANAESTHESIOLOGY,AIQ,"₹ 35,000.00",NA,2,"₹ 55,09,464.00","₹ 73,042.00"
Punjab,"Homi Bhabha CancerHosp,Sangrur",ANAESTHESIOLOGY,AIQ,"₹ 1,05,500.00",100,1,"₹ 25,00,000.00","₹ 1,05,840.00"
Rajasthan,"RUHS, Jaipur",ANAESTHESIOLOGY,AIQ,"₹ 89,489.00",300,2,"₹ 50,00,000.00","₹ 87,216.00"
Tamil Nadu,"Govt Med Coll, Pudukottai",ANAESTHESIOLOGY,AIQ,"₹ 50,000.00",1733,2,"₹ 40,00,000.00","₹ 54,025.00"
Telangana,"Govt Med Coll, Nalgonda",ANAESTHESIOLOGY,AIQ,"₹ 15,000.00",580,1,"₹ 20,00,000.00","₹ 67,032.00"
Telangana,"Govt Med Coll, Suryapet",ANAESTHESIOLOGY,AIQ,"₹ 15,000.00",580,1,"₹ 20,00,000.00","₹ 67,032.00"
Uttar Pradesh,"Govt Med Coll, Firozobad",ANAESTHESIOLOGY,AIQ,"₹ 24,000.00",517,2,"₹ 40,00,000.00","₹ 1,10,646.00"
Uttarakhand,"Soban Singh Govt Inst, Almora",ANAESTHESIOLOGY,AIQ,"₹ 60,000.00",500,2,"₹ 2,50,00,000.00","₹ 76,600.00"
Meghalaya,"NEIGRIHMS, Shillong",ANAESTHESIOLOGY,AIQ,"₹ 16,300.00",594,0,₹ 0.00,"₹ 1,25,000.00"
Andaman and Nicobar Islands,"Andaman & NicobarIMS,PortBlair",ANAESTHESIOLOGY,AIQ,"₹ 33,000.00",555,1,"₹ 10,00,000.00","₹ 87,000.00"
Mizoram,"Zoram Med Coll, Mizoram",ANAESTHESIOLOGY,AIQ,"₹ 2,00,000.00",494,1,"₹ 20,00,000.00","₹ 50,000.00"
Punjab,"Homi Bhabha CancerHosp, New Chandigarh",ANAESTHESIOLOGY,AIQ,"₹ 1,05,500.00",NA,1,"₹ 25,00,000.00","₹ 1,05,840.00"
Uttar Pradesh,"Govt IMS, Kasna",ANAESTHESIOLOGY,AIQ,"₹ 35,000.00",500,2,"₹ 40,00,000.00","₹ 1,10,646.00"
Manipur,"JNIMS, Imphal",ANAESTHESIOLOGY,AIQ,"₹ 50,000.00",643,1,"₹ 20,00,000.00","₹ 50,000.00"
Maharashtra,"ESI PGIMSR, Mumbai",ANAESTHESIOLOGY,AIQ,NA,357,NA,NA,NA
Assam,"Diphu Med Coll, Assam",ANAESTHESIOLOGY,AIQ,"₹ 27,300.00",NA,2,"₹ 20,00,000.00","₹ 55,200.00"
Uttarakhand,"VCSG Med Coll, Pauri Garhwal",ANAESTHESIOLOGY,AIQ,"₹ 60,000.00",NA,2,"₹ 2,50,00,000.00","₹ 76,600.00"
Andhra Pradesh,"Govt Med Coll, Machilipatnam",ANAESTHESIOLOGY,AIQ,"₹ 30,000.00",553,0,₹ 0.00,"₹ 60,823.00"
Andhra Pradesh,"Govt Med Coll, Vizianagaram",ANAESTHESIOLOGY,AIQ,"₹ 30,000.00",830,0,₹ 0.00,"₹ 60,823.00"
Andhra Pradesh,"Government Med Coll, Eluru",ANAESTHESIOLOGY,AIQ,"₹ 30,000.00",500,0,₹ 0.00,"₹ 60,823.00"
Andhra Pradesh,"Govt Med Coll, Rajamahendravaram",ANAESTHESIOLOGY,AIQ,"₹ 30,000.00",636,0,₹ 0.00,"₹ 60,823.00"
Telangana,"NIMS, Hyderabad",ANAESTHESIOLOGY,AIQ,"₹ 72,000.00",1498,1,"₹ 20,00,000.00","₹ 1,16,844.00"
Goa,"Goa Med Coll, Panaji",ANAESTHESIOLOGY,AIQ,"₹ 1,22,522.00",1160,1,"₹ 50,00,000.00","₹ 80,000.00"
Arunachal Pradesh,"Tomo Riba IHMS, Naharlagun",ANAESTHESIOLOGY,AIQ,NA,500,2,"₹ 50,00,000.00",NA
Punjab,"Govt Med Coll, Amritsar",ANAESTHESIOLOGY,AIQ,"₹ 1,25,000.00",951,2,"₹ 20,00,000.00","₹ 76,000.00"
Punjab,"Govt Med Coll, Patiala",ANAESTHESIOLOGY,AIQ,"₹ 1,25,000.00",1130,2,"₹ 20,00,000.00","₹ 76,000.00"
Punjab,"Guru Govind Singh, Faridkot",ANAESTHESIOLOGY,AIQ,"₹ 1,25,000.00",1025,2,"₹ 20,00,000.00","₹ 76,000.00"
Tamil Nadu,"Saveetha, Kanchipuram",ANAESTHESIOLOGY,MNG,"₹ 30,00,000.00",1250,0,₹ 0.00,"₹ 48,000.00"
Telangana,"Malla Reddy IMS, Hyderabad",ANAESTHESIOLOGY,MNG,"₹ 30,00,000.00",940,1,"₹ 15,00,000.00","₹ 45,000.00"
Telangana,"Malla Reddy(Women), Hyderabad",ANAESTHESIOLOGY,MNG,"₹ 30,00,000.00",1050,1,"₹ 15,00,000.00","₹ 45,000.00"
Karnataka,"Sri Siddhartha IMS, T. Begur",ANAESTHESIOLOGY,MNG,"₹ 32,50,000.00",720,0,₹ 0.00,"₹ 30,000.00"
Pondicherry,"Aarupadai Veedu, Pondicherry",ANAESTHESIOLOGY,MNG,"₹ 30,00,000.00",584,0,₹ 0.00,"₹ 40,000.00"
Tamil Nadu,"Chettinad Hosp&RI,Kanchipuram",ANAESTHESIOLOGY,MNG,"₹ 33,00,000.00",1180,0,₹ 0.00,"₹ 48,000.00"
Maharashtra,"DY Patil, Kolhapur",ANAESTHESIOLOGY,MNG,"₹ 22,00,000.00",800,0,₹ 0.00,"₹ 86,629.00"
Andhra Pradesh,"GITAM IMS, Vizag",ANAESTHESIOLOGY,MNG,"₹ 29,70,000.00",780,0,₹ 0.00,"₹ 44,075.00"
Karnataka,"JN Medical College, Belgaum",ANAESTHESIOLOGY,MNG,"₹ 30,30,000.00",2400,1,"₹ 10,00,000.00","₹ 56,250.00"
Karnataka,"JSS Med Coll, Mysore",ANAESTHESIOLOGY,MNG,"₹ 25,00,000.00",2060,0,₹ 0.00,"₹ 45,000.00"
Karnataka,"KS Hegde, Mangalore",ANAESTHESIOLOGY,MNG,"₹ 21,30,000.00",1000,0,₹ 0.00,"₹ 56,250.00"
Odisha,"Kalinga IMS, Bhubaneswar",ANAESTHESIOLOGY,MNG,"₹ 23,00,000.00",2600,0,₹ 0.00,"₹ 72,000.00"
Maharashtra,"Krishna IMS, Karad",ANAESTHESIOLOGY,MNG,"₹ 27,00,000.00",1125,0,₹ 0.00,"₹ 92,470.00"
Pondicherry,"MGMC & RI, Pondicherry",ANAESTHESIOLOGY,MNG,"₹ 32,00,000.00",1380,0,₹ 0.00,"₹ 40,000.00"
Maharashtra,"DY Patil, Navi Mumbai",ANAESTHESIOLOGY,MNG,"₹ 35,00,000.00",1662,1,"₹ 10,00,000.00","₹ 76,629.00"
Karnataka,"Rajeshwari, Bangalore",ANAESTHESIOLOGY,MNG,"₹ 32,00,000.00",1460,0,₹ 0.00,"₹ 45,000.00"
Maharashtra,"Rural Med Coll, LONI",ANAESTHESIOLOGY,MNG,"₹ 22,40,000.00",1275,1,"₹ 5,00,000.00","₹ 76,429.00"
Uttar Pradesh,"Santosh Med Coll, Ghaziabad",ANAESTHESIOLOGY,MNG,"₹ 25,00,000.00",800,0,₹ 0.00,"₹ 56,010.00"
Tamil Nadu,"Shri Satya Sai, Kancheepuram",ANAESTHESIOLOGY,MNG,"₹ 32,00,000.00",1120,0,₹ 0.00,"₹ 35,000.00"
Tamil Nadu,"Sree Balaji Med Coll, Chennai",ANAESTHESIOLOGY,MNG,"₹ 35,00,000.00",1250,0,₹ 0.00,"₹ 25,000.00"
Pondicherry,"SLIMS, Pondicherry",ANAESTHESIOLOGY,MNG,"₹ 36,00,000.00",1230,0,₹ 0.00,₹ 0.00
Tamil Nadu,"SRMC & RI, Chennai",ANAESTHESIOLOGY,MNG,"₹ 32,00,000.00",1800,0,₹ 0.00,"₹ 48,000.00"
Tamil Nadu,"SRM Med Coll, Kancheepuram",ANAESTHESIOLOGY,MNG,"₹ 35,00,000.00",1590,0,₹ 0.00,"₹ 52,451.00"
Tamil Nadu,"Vinayaka Missions, Salem",ANAESTHESIOLOGY,MNG,"₹ 25,00,000.00",560,0,₹ 0.00,"₹ 35,000.00"
Pondicherry,"Vinayaka Missions, Karaikal",ANAESTHESIOLOGY,MNG,"₹ 25,00,000.00",590,0,₹ 0.00,"₹ 43,000.00"
Karnataka,"Yenepoya Med Coll, Mangalore",ANAESTHESIOLOGY,MNG,"₹ 30,00,000.00",910,0,₹ 0.00,"₹ 55,000.00"
Maharashtra,"JN Med College, Meghe, Wardha",ANAESTHESIOLOGY,MNG,"₹ 24,00,000.00",2150,1,"₹ 5,00,000.00","₹ 70,000.00"
Maharashtra,"Datta Meghe Med Coll, Nagpur",ANAESTHESIOLOGY,MNG,"₹ 24,00,000.00",925,1,"₹ 5,00,000.00","₹ 70,000.00"
Maharashtra,"MGM Med Coll, Aurangabad",ANAESTHESIOLOGY,MNG,"₹ 30,00,000.00",700,1,"₹ 25,00,000.00","₹ 88,000.00"
Karnataka,"Siddhartha Med Coll, Tumkur",ANAESTHESIOLOGY,MNG,"₹ 32,50,000.00",960,0,₹ 0.00,"₹ 35,000.00"
Kerala,"Amrita School of Med, Kochi",ANAESTHESIOLOGY,MNG,"₹ 29,00,000.00",1110,0,₹ 0.00,"₹ 48,000.00"
Tamil Nadu,"Bhaarat Med Coll, Chennai",ANAESTHESIOLOGY,MNG,"₹ 40,00,000.00",NA,NA,NA,"₹ 48,000.00"
Haryana,Amrita School of Med. Faridabad,ANAESTHESIOLOGY,MNG,"₹ 29,00,000.00",NA,0,₹ 0.00,"₹ 60,000.00"
